"ProductionID","Tanggal","Shift","Line","Operator","Mesin","Produk","TargetProduksi","AktualProduksi","JumlahCacat","DowntimeMenit","CycleTimeDetik","DefectRatePct","PencapaianPct","Bulan","Hari"
"PRD-00198",2026-02-21,"Siang","Line-A","OP03","M-02","Housing",323,326,16,25,42.2,4.91,100.9,"2026-02","Saturday"
"PRD-00199",2026-02-23,"Siang","Line-A","OP01","M-02","Bracket",394,367,7,16,41.2,1.91,93.1,"2026-02","Monday"
"PRD-00200",2026-02-24,"Siang","Line-A","OP06","M-01","Bracket",444,445,23,35,43.7,5.17,100.2,"2026-02","Tuesday"
"PRD-00201",2026-02-25,"Siang","Line-A","OP05","M-01","Bracket",370,314,8,27,55.9,2.55,84.9,"2026-02","Wednesday"
"PRD-00202",2026-02-26,"Siang","Line-A","OP01","M-01","Bracket",452,411,2,2,40.9,0.49,90.9,"2026-02","Thursday"
"PRD-00203",2026-02-27,"Siang","Line-A","OP04","M-01","Shaft",273,268,11,23,52.9,4.1,98.2,"2026-02","Friday"
"PRD-00204",2026-02-28,"Siang","Line-A","OP06","M-02","Bracket",404,402,15,25,40,3.73,99.5,"2026-02","Saturday"
"PRD-00205",2026-03-02,"Siang","Line-A","OP05","M-02","Bracket",467,474,20,17,43.2,4.22,101.5,"2026-03","Monday"
"PRD-00206",2026-03-03,"Siang","Line-A","OP06","M-01","Bracket",407,366,10,23,39.8,2.73,89.9,"2026-03","Tuesday"
"PRD-00207",2026-03-04,"Siang","Line-A","OP08","M-02","Housing",395,395,4,94,52.5,1.01,100,"2026-03","Wednesday"
"PRD-00208",2026-03-05,"Siang","Line-A","OP07","M-02","Bracket",430,419,11,9,42.7,2.63,97.4,"2026-03","Thursday"
"PRD-00209",2026-03-06,"Siang","Line-A","OP01","M-01","Shaft",306,285,1,12,47.4,0.35,93.1,"2026-03","Friday"
"PRD-00210",2026-03-07,"Siang","Line-A","OP01","M-01","Bracket",423,409,5,4,43.7,1.22,96.7,"2026-03","Saturday"
"PRD-00211",2026-03-09,"Siang","Line-A","OP03","M-02","Housing",352,341,12,14,42.4,3.52,96.9,"2026-03","Monday"
"PRD-00212",2026-03-10,"Siang","Line-A","OP07","M-02","Housing",335,329,5,21,49.8,1.52,98.2,"2026-03","Tuesday"
"PRD-00213",2026-03-11,"Siang","Line-A","OP01","M-02","Bracket",448,385,6,35,40.7,1.56,85.9,"2026-03","Wednesday"
"PRD-00214",2026-03-12,"Siang","Line-A","OP04","M-01","Bracket",475,436,10,31,39.6,2.29,91.8,"2026-03","Thursday"
"PRD-00215",2026-03-13,"Siang","Line-A","OP04","M-02","Shaft",269,253,5,11,54.6,1.98,94.1,"2026-03","Friday"
"PRD-00216",2026-03-14,"Siang","Line-A","OP07","M-01","Housing",322,345,2,8,42.7,0.58,107.1,"2026-03","Saturday"
"PRD-00217",2026-03-16,"Siang","Line-A","OP03","M-02","Shaft",273,280,5,10,49.8,1.79,102.6,"2026-03","Monday"
"PRD-00218",2026-03-17,"Siang","Line-A","OP03","M-02","Housing",374,370,14,128,43,3.78,98.9,"2026-03","Tuesday"
"PRD-00219",2026-03-18,"Siang","Line-A","OP08","M-01","Bracket",389,383,4,20,46.8,1.04,98.5,"2026-03","Wednesday"
"PRD-00220",2026-03-19,"Siang","Line-A","OP05","M-02","Shaft",294,265,8,13,60.9,3.02,90.1,"2026-03","Thursday"
"PRD-00221",2026-03-20,"Siang","Line-A","OP04","M-01","Shaft",270,249,7,2,61.8,2.81,92.2,"2026-03","Friday"
"PRD-00222",2026-03-21,"Siang","Line-A","OP02","M-01","Shaft",329,322,4,7,56,1.24,97.9,"2026-03","Saturday"
"PRD-00223",2026-03-23,"Siang","Line-A","OP07","M-01","Housing",368,358,7,9,39.5,1.96,97.3,"2026-03","Monday"
"PRD-00224",2026-03-24,"Siang","Line-A","OP03","M-01","Housing",379,366,10,33,45.2,2.73,96.6,"2026-03","Tuesday"
"PRD-00225",2026-03-25,"Siang","Line-A","OP02","M-01","Bracket",409,342,5,90,46.4,1.46,83.6,"2026-03","Wednesday"
"PRD-00226",2026-03-26,"Siang","Line-A","OP06","M-01","Housing",349,314,6,8,44.5,1.91,90,"2026-03","Thursday"
"PRD-00227",2026-03-27,"Siang","Line-A","OP05","M-01","Bracket",444,439,7,5,45.8,1.59,98.9,"2026-03","Friday"
"PRD-00228",2026-03-28,"Siang","Line-A","OP03","M-02","Bracket",412,383,17,9,40.5,4.44,93,"2026-03","Saturday"
"PRD-00229",2026-03-30,"Siang","Line-A","OP05","M-01","Bracket",440,394,0,16,39.1,0,89.5,"2026-03","Monday"
"PRD-00230",2026-03-31,"Siang","Line-A","OP06","M-01","Housing",368,330,7,0,47.8,2.12,89.7,"2026-03","Tuesday"
"PRD-00231",2026-04-01,"Siang","Line-A","OP01","M-02","Shaft",274,248,4,29,49.3,1.61,90.5,"2026-04","Wednesday"
"PRD-00232",2026-04-02,"Siang","Line-A","OP08","M-02","Housing",356,356,7,32,41.9,1.97,100,"2026-04","Thursday"
"PRD-00233",2026-04-03,"Siang","Line-A","OP06","M-02","Shaft",249,253,8,16,59.5,3.16,101.6,"2026-04","Friday"
"PRD-00234",2026-04-04,"Siang","Line-A","OP03","M-02","Housing",352,327,20,20,40.5,6.12,92.9,"2026-04","Saturday"
"PRD-00235",2026-04-06,"Siang","Line-A","OP01","M-02","Housing",312,313,6,19,39.9,1.92,100.3,"2026-04","Monday"
"PRD-00236",2026-04-07,"Siang","Line-A","OP06","M-01","Housing",331,328,10,5,43.5,3.05,99.1,"2026-04","Tuesday"
"PRD-00237",2026-04-08,"Siang","Line-A","OP03","M-02","Bracket",469,467,9,11,56.9,1.93,99.6,"2026-04","Wednesday"
"PRD-00238",2026-04-09,"Siang","Line-A","OP01","M-02","Housing",325,278,13,63,48.3,4.68,85.5,"2026-04","Thursday"
"PRD-00239",2026-04-10,"Siang","Line-A","OP07","M-02","Shaft",312,306,8,19,53.3,2.61,98.1,"2026-04","Friday"
"PRD-00240",2026-04-11,"Siang","Line-A","OP02","M-02","Housing",361,345,5,62,41.2,1.45,95.6,"2026-04","Saturday"
"PRD-00241",2026-04-13,"Siang","Line-A","OP05","M-02","Bracket",404,385,14,16,37.1,3.64,95.3,"2026-04","Monday"
"PRD-00242",2026-04-14,"Siang","Line-A","OP03","M-02","Housing",379,370,6,14,45.9,1.62,97.6,"2026-04","Tuesday"
"PRD-00243",2026-04-15,"Siang","Line-A","OP06","M-02","Bracket",447,459,17,8,42.1,3.7,102.7,"2026-04","Wednesday"
"PRD-00244",2026-04-16,"Siang","Line-A","OP06","M-01","Housing",317,331,9,63,47.7,2.72,104.4,"2026-04","Thursday"
"PRD-00245",2026-04-17,"Siang","Line-A","OP05","M-02","Bracket",409,392,8,50,40.9,2.04,95.8,"2026-04","Friday"
"PRD-00246",2026-04-18,"Siang","Line-A","OP01","M-02","Shaft",298,246,3,40,60.2,1.22,82.6,"2026-04","Saturday"
"PRD-00247",2026-04-20,"Siang","Line-A","OP05","M-01","Housing",346,328,6,10,50.8,1.83,94.8,"2026-04","Monday"
"PRD-00248",2026-04-21,"Siang","Line-A","OP03","M-02","Bracket",387,416,9,10,45.1,2.16,107.5,"2026-04","Tuesday"
"PRD-00249",2026-04-22,"Siang","Line-A","OP06","M-01","Shaft",295,267,13,27,59.8,4.87,90.5,"2026-04","Wednesday"
"PRD-00250",2026-04-23,"Siang","Line-A","OP03","M-02","Housing",345,326,7,12,45.3,2.15,94.5,"2026-04","Thursday"
"PRD-00251",2026-04-24,"Siang","Line-A","OP08","M-01","Housing",331,309,6,5,49.1,1.94,93.4,"2026-04","Friday"
"PRD-00252",2026-04-25,"Siang","Line-A","OP05","M-02","Housing",447,399,4,13,47.1,1,89.3,"2026-04","Saturday"
"PRD-00253",2026-04-27,"Siang","Line-A","OP06","M-01","Housing",381,389,8,2,62.8,2.06,102.1,"2026-04","Monday"
"PRD-00254",2026-04-28,"Siang","Line-A","OP07","M-02","Housing",336,327,11,14,47.7,3.36,97.3,"2026-04","Tuesday"
"PRD-00255",2026-04-29,"Siang","Line-A","OP07","M-01","Shaft",276,261,4,1,55.5,1.53,94.6,"2026-04","Wednesday"
"PRD-00256",2026-04-30,"Siang","Line-A","OP01","M-01","Bracket",418,461,5,27,43.3,1.08,110.3,"2026-04","Thursday"
"PRD-00257",2026-05-01,"Siang","Line-A","OP02","M-01","Bracket",438,449,4,27,48.4,0.89,102.5,"2026-05","Friday"
"PRD-00258",2026-05-02,"Siang","Line-A","OP03","M-01","Bracket",390,400,5,6,34.9,1.25,102.6,"2026-05","Saturday"
"PRD-00259",2026-05-04,"Siang","Line-A","OP04","M-01","Housing",368,371,8,0,42.4,2.16,100.8,"2026-05","Monday"
"PRD-00260",2026-05-05,"Siang","Line-A","OP05","M-01","Housing",356,321,4,23,57.8,1.25,90.2,"2026-05","Tuesday"
"PRD-00261",2026-05-06,"Siang","Line-A","OP06","M-02","Housing",363,342,26,10,42.5,7.6,94.2,"2026-05","Wednesday"
"PRD-00262",2026-05-07,"Siang","Line-A","OP03","M-02","Housing",409,395,12,13,50.2,3.04,96.6,"2026-05","Thursday"
"PRD-00263",2026-05-08,"Siang","Line-A","OP01","M-01","Bracket",476,430,8,22,43,1.86,90.3,"2026-05","Friday"
"PRD-00264",2026-05-09,"Siang","Line-A","OP05","M-02","Shaft",335,326,8,38,47,2.45,97.3,"2026-05","Saturday"
"PRD-00265",2026-05-11,"Siang","Line-A","OP08","M-02","Shaft",309,325,6,19,51.5,1.85,105.2,"2026-05","Monday"
"PRD-00266",2026-05-12,"Siang","Line-A","OP01","M-02","Shaft",265,236,6,42,56.4,2.54,89.1,"2026-05","Tuesday"
"PRD-00267",2026-05-13,"Siang","Line-A","OP05","M-02","Bracket",455,480,7,29,41.8,1.46,105.5,"2026-05","Wednesday"
"PRD-00268",2026-05-14,"Siang","Line-A","OP08","M-01","Housing",337,340,6,5,46.9,1.76,100.9,"2026-05","Thursday"
"PRD-00269",2026-05-15,"Siang","Line-A","OP03","M-01","Bracket",444,483,4,2,40.1,0.83,108.8,"2026-05","Friday"
"PRD-00270",2026-05-16,"Siang","Line-A","OP06","M-02","Bracket",379,412,21,22,51,5.1,108.7,"2026-05","Saturday"
"PRD-00271",2026-05-18,"Siang","Line-A","OP01","M-02","Housing",325,328,5,46,53,1.52,100.9,"2026-05","Monday"
"PRD-00272",2026-05-19,"Siang","Line-A","OP07","M-02","Housing",343,371,7,46,42,1.89,108.2,"2026-05","Tuesday"
"PRD-00273",2026-05-20,"Siang","Line-A","OP08","M-02","Bracket",384,387,11,12,39,2.84,100.8,"2026-05","Wednesday"
"PRD-00274",2026-05-21,"Siang","Line-A","OP08","M-02","Housing",336,350,6,31,41.9,1.71,104.2,"2026-05","Thursday"
"PRD-00275",2026-05-22,"Siang","Line-A","OP03","M-01","Housing",359,380,9,15,49.8,2.37,105.8,"2026-05","Friday"
"PRD-00276",2026-05-23,"Siang","Line-A","OP05","M-01","Housing",318,285,5,2,43.6,1.75,89.6,"2026-05","Saturday"
"PRD-00277",2026-05-25,"Siang","Line-A","OP07","M-01","Shaft",269,261,2,30,45,0.77,97,"2026-05","Monday"
"PRD-00278",2026-05-26,"Siang","Line-A","OP02","M-01","Shaft",326,310,4,6,54.1,1.29,95.1,"2026-05","Tuesday"
"PRD-00279",2026-05-27,"Siang","Line-A","OP04","M-01","Shaft",290,280,10,16,55.4,3.57,96.6,"2026-05","Wednesday"
"PRD-00280",2026-05-28,"Siang","Line-A","OP08","M-01","Bracket",420,412,5,0,47.9,1.21,98.1,"2026-05","Thursday"
"PRD-00281",2026-05-29,"Siang","Line-A","OP07","M-01","Bracket",398,371,4,10,41.8,1.08,93.2,"2026-05","Friday"
"PRD-00282",2026-05-30,"Siang","Line-A","OP04","M-02","Bracket",421,376,15,13,43.7,3.99,89.3,"2026-05","Saturday"
"PRD-00283",2026-06-01,"Siang","Line-A","OP03","M-01","Housing",369,360,6,1,46.1,1.67,97.6,"2026-06","Monday"
"PRD-00284",2026-06-02,"Siang","Line-A","OP07","M-01","Shaft",288,294,9,11,55.7,3.06,102.1,"2026-06","Tuesday"
"PRD-00285",2026-06-03,"Siang","Line-A","OP04","M-01","Bracket",498,496,13,18,49.9,2.62,99.6,"2026-06","Wednesday"
"PRD-00286",2026-06-04,"Siang","Line-A","OP02","M-02","Housing",303,328,7,50,52.5,2.13,108.3,"2026-06","Thursday"
"PRD-00287",2026-06-05,"Siang","Line-A","OP07","M-01","Bracket",398,400,8,16,36.6,2,100.5,"2026-06","Friday"
"PRD-00288",2026-06-06,"Siang","Line-A","OP02","M-01","Shaft",283,273,4,6,49.6,1.47,96.5,"2026-06","Saturday"
"PRD-00289",2026-06-08,"Siang","Line-A","OP05","M-01","Bracket",413,395,9,15,46.6,2.28,95.6,"2026-06","Monday"
"PRD-00290",2026-06-09,"Siang","Line-A","OP03","M-01","Bracket",431,448,10,7,36.5,2.23,103.9,"2026-06","Tuesday"
"PRD-00291",2026-06-10,"Siang","Line-A","OP07","M-01","Housing",377,344,6,12,41.5,1.74,91.2,"2026-06","Wednesday"
"PRD-00292",2026-06-11,"Siang","Line-A","OP04","M-02","Bracket",372,357,8,82,41.6,2.24,96,"2026-06","Thursday"
"PRD-00293",2026-06-12,"Siang","Line-A","OP08","M-02","Shaft",312,306,3,33,53.6,0.98,98.1,"2026-06","Friday"
"PRD-00294",2026-06-13,"Siang","Line-A","OP03","M-01","Bracket",438,410,18,30,49.4,4.39,93.6,"2026-06","Saturday"
"PRD-00295",2026-06-15,"Siang","Line-A","OP07","M-01","Bracket",433,410,9,43,46,2.2,94.7,"2026-06","Monday"
"PRD-00296",2026-06-16,"Siang","Line-A","OP05","M-02","Shaft",308,273,2,8,46.2,0.73,88.6,"2026-06","Tuesday"
"PRD-00297",2026-06-17,"Siang","Line-A","OP06","M-01","Housing",355,296,5,4,41.5,1.69,83.4,"2026-06","Wednesday"
"PRD-00298",2026-06-18,"Siang","Line-A","OP01","M-01","Housing",354,310,2,49,50.7,0.65,87.6,"2026-06","Thursday"
"PRD-00299",2026-06-19,"Siang","Line-A","OP04","M-02","Housing",305,310,14,35,34.5,4.52,101.6,"2026-06","Friday"
"PRD-00300",2026-06-20,"Siang","Line-A","OP05","M-01","Bracket",397,411,6,5,39.7,1.46,103.5,"2026-06","Saturday"
"PRD-00301",2026-06-22,"Siang","Line-A","OP04","M-02","Bracket",404,388,12,24,40.1,3.09,96,"2026-06","Monday"
"PRD-00302",2026-06-23,"Siang","Line-A","OP02","M-02","Housing",328,308,6,12,45,1.95,93.9,"2026-06","Tuesday"
"PRD-00303",2026-06-24,"Siang","Line-A","OP03","M-01","Bracket",439,388,13,11,50.1,3.35,88.4,"2026-06","Wednesday"
"PRD-00304",2026-06-25,"Siang","Line-A","OP01","M-01","Bracket",406,372,5,31,47.6,1.34,91.6,"2026-06","Thursday"
"PRD-00305",2026-06-26,"Siang","Line-A","OP03","M-02","Housing",328,313,15,20,43.7,4.79,95.4,"2026-06","Friday"
"PRD-00306",2026-06-27,"Siang","Line-A","OP03","M-01","Housing",324,313,6,5,48.3,1.92,96.6,"2026-06","Saturday"
"PRD-00307",2026-06-29,"Siang","Line-A","OP07","M-02","Shaft",305,269,9,42,57.2,3.35,88.2,"2026-06","Monday"
"PRD-00308",2026-06-30,"Siang","Line-A","OP08","M-02","Bracket",371,329,4,28,47.2,1.22,88.7,"2026-06","Tuesday"
"PRD-00309",2026-01-02,"Malam","Line-A","OP03","M-01","Shaft",229,216,5,41,57.7,2.31,94.3,"2026-01","Friday"
"PRD-00310",2026-01-03,"Malam","Line-A","OP08","M-01","Bracket",349,328,14,4,46.6,4.27,94,"2026-01","Saturday"
"PRD-00311",2026-01-05,"Malam","Line-A","OP02","M-02","Bracket",350,320,6,29,37.1,1.88,91.4,"2026-01","Monday"
"PRD-00312",2026-01-06,"Malam","Line-A","OP06","M-02","Housing",334,306,30,19,51.5,9.8,91.6,"2026-01","Tuesday"
"PRD-00313",2026-01-07,"Malam","Line-A","OP02","M-01","Bracket",363,355,6,37,43.3,1.69,97.8,"2026-01","Wednesday"
"PRD-00314",2026-01-08,"Malam","Line-A","OP04","M-02","Bracket",373,375,10,9,48.9,2.67,100.5,"2026-01","Thursday"
"PRD-00315",2026-01-09,"Malam","Line-A","OP04","M-01","Shaft",241,238,8,1,58.1,3.36,98.8,"2026-01","Friday"
"PRD-00316",2026-01-10,"Malam","Line-A","OP08","M-01","Shaft",248,258,4,6,50.3,1.55,104,"2026-01","Saturday"
"PRD-00317",2026-01-12,"Malam","Line-A","OP03","M-02","Shaft",239,222,14,10,56.3,6.31,92.9,"2026-01","Monday"
"PRD-00318",2026-01-13,"Malam","Line-A","OP04","M-01","Housing",288,273,11,2,45.3,4.03,94.8,"2026-01","Tuesday"
"PRD-00319",2026-01-14,"Malam","Line-A","OP02","M-01","Housing",325,291,7,12,49.5,2.41,89.5,"2026-01","Wednesday"
"PRD-00320",2026-01-15,"Malam","Line-A","OP04","M-02","Bracket",411,366,20,40,45.5,5.46,89.1,"2026-01","Thursday"
"PRD-00321",2026-01-16,"Malam","Line-A","OP03","M-02","Housing",328,316,15,13,46.2,4.75,96.3,"2026-01","Friday"
"PRD-00322",2026-01-17,"Malam","Line-A","OP03","M-01","Housing",300,289,4,16,45.1,1.38,96.3,"2026-01","Saturday"
"PRD-00323",2026-01-19,"Malam","Line-A","OP07","M-02","Bracket",412,381,21,16,53.2,5.51,92.5,"2026-01","Monday"
"PRD-00324",2026-01-20,"Malam","Line-A","OP03","M-02","Housing",301,280,5,46,52.6,1.79,93,"2026-01","Tuesday"
"PRD-00325",2026-01-21,"Malam","Line-A","OP02","M-02","Bracket",380,360,15,21,56.9,4.17,94.7,"2026-01","Wednesday"
"PRD-00326",2026-01-22,"Malam","Line-A","OP05","M-01","Housing",300,276,8,17,47.3,2.9,92,"2026-01","Thursday"
"PRD-00327",2026-01-23,"Malam","Line-A","OP05","M-01","Bracket",353,339,11,28,52.9,3.24,96,"2026-01","Friday"
"PRD-00328",2026-01-24,"Malam","Line-A","OP05","M-02","Shaft",287,272,5,15,55.8,1.84,94.8,"2026-01","Saturday"
"PRD-00329",2026-01-26,"Malam","Line-A","OP02","M-02","Housing",321,319,8,39,49.8,2.51,99.4,"2026-01","Monday"
"PRD-00330",2026-01-27,"Malam","Line-A","OP01","M-01","Bracket",372,362,4,14,49.7,1.1,97.3,"2026-01","Tuesday"
"PRD-00331",2026-01-28,"Malam","Line-A","OP07","M-01","Housing",355,342,6,28,55.8,1.75,96.3,"2026-01","Wednesday"
"PRD-00332",2026-01-29,"Malam","Line-A","OP08","M-01","Bracket",391,415,7,10,39.5,1.69,106.1,"2026-01","Thursday"
"PRD-00333",2026-01-30,"Malam","Line-A","OP06","M-02","Shaft",284,274,13,17,49.1,4.74,96.5,"2026-01","Friday"
"PRD-00334",2026-01-31,"Malam","Line-A","OP03","M-01","Housing",315,290,7,18,47.3,2.41,92.1,"2026-01","Saturday"
"PRD-00335",2026-02-02,"Malam","Line-A","OP05","M-01","Bracket",338,326,14,35,39.6,4.29,96.4,"2026-02","Monday"
"PRD-00336",2026-02-03,"Malam","Line-A","OP07","M-01","Bracket",380,348,17,6,46.6,4.89,91.6,"2026-02","Tuesday"
"PRD-00337",2026-02-04,"Malam","Line-A","OP03","M-02","Shaft",220,206,4,50,59,1.94,93.6,"2026-02","Wednesday"
"PRD-00338",2026-02-05,"Malam","Line-A","OP03","M-02","Shaft",272,272,12,26,56.2,4.41,100,"2026-02","Thursday"
"PRD-00339",2026-02-06,"Malam","Line-A","OP03","M-02","Bracket",350,335,27,21,52.1,8.06,95.7,"2026-02","Friday"
"PRD-00340",2026-02-07,"Malam","Line-A","OP07","M-01","Bracket",373,355,12,7,38.7,3.38,95.2,"2026-02","Saturday"
"PRD-00341",2026-02-09,"Malam","Line-A","OP06","M-01","Shaft",255,245,8,2,53,3.27,96.1,"2026-02","Monday"
"PRD-00342",2026-02-10,"Malam","Line-A","OP08","M-01","Bracket",369,384,17,2,47.6,4.43,104.1,"2026-02","Tuesday"
"PRD-00343",2026-02-11,"Malam","Line-A","OP07","M-01","Bracket",360,383,11,21,46.9,2.87,106.4,"2026-02","Wednesday"
"PRD-00344",2026-02-12,"Malam","Line-A","OP08","M-01","Housing",357,359,1,5,46.9,0.28,100.6,"2026-02","Thursday"
"PRD-00345",2026-02-13,"Malam","Line-A","OP03","M-01","Housing",306,291,11,8,52.8,3.78,95.1,"2026-02","Friday"
"PRD-00346",2026-02-14,"Malam","Line-A","OP05","M-02","Shaft",234,228,6,37,57,2.63,97.4,"2026-02","Saturday"
"PRD-00347",2026-02-16,"Malam","Line-A","OP08","M-02","Housing",340,315,8,9,52.4,2.54,92.6,"2026-02","Monday"
"PRD-00348",2026-02-17,"Malam","Line-A","OP03","M-01","Shaft",244,230,4,6,50.5,1.74,94.3,"2026-02","Tuesday"
"PRD-00349",2026-02-18,"Malam","Line-A","OP03","M-02","Bracket",416,462,9,12,45,1.95,111.1,"2026-02","Wednesday"
"PRD-00350",2026-02-19,"Malam","Line-A","OP07","M-02","Bracket",355,322,14,29,48.2,4.35,90.7,"2026-02","Thursday"
"PRD-00351",2026-02-20,"Malam","Line-A","OP08","M-02","Housing",361,334,5,28,45.5,1.5,92.5,"2026-02","Friday"
"PRD-00352",2026-02-21,"Malam","Line-A","OP02","M-01","Shaft",285,267,5,0,55.8,1.87,93.7,"2026-02","Saturday"
"PRD-00353",2026-02-23,"Malam","Line-A","OP05","M-02","Housing",312,271,15,96,54.4,5.54,86.9,"2026-02","Monday"
"PRD-00354",2026-02-24,"Malam","Line-A","OP03","M-02","Bracket",324,271,8,12,43.5,2.95,83.6,"2026-02","Tuesday"
"PRD-00355",2026-02-25,"Malam","Line-A","OP08","M-01","Housing",335,314,4,21,45,1.27,93.7,"2026-02","Wednesday"
"PRD-00356",2026-02-26,"Malam","Line-A","OP05","M-02","Housing",332,310,4,9,47.7,1.29,93.4,"2026-02","Thursday"
"PRD-00357",2026-02-27,"Malam","Line-A","OP05","M-01","Housing",319,249,7,5,50.7,2.81,78.1,"2026-02","Friday"
"PRD-00358",2026-02-28,"Malam","Line-A","OP08","M-02","Shaft",263,213,8,23,60.9,3.76,81,"2026-02","Saturday"
"PRD-00359",2026-03-02,"Malam","Line-A","OP05","M-01","Housing",327,333,13,20,61.5,3.9,101.8,"2026-03","Monday"
"PRD-00360",2026-03-03,"Malam","Line-A","OP01","M-01","Shaft",224,199,5,22,55.9,2.51,88.8,"2026-03","Tuesday"
"PRD-00361",2026-03-04,"Malam","Line-A","OP04","M-01","Shaft",239,242,10,9,53.2,4.13,101.3,"2026-03","Wednesday"
"PRD-00362",2026-03-05,"Malam","Line-A","OP04","M-02","Bracket",375,351,14,107,49,3.99,93.6,"2026-03","Thursday"
"PRD-00363",2026-03-06,"Malam","Line-A","OP02","M-02","Bracket",379,346,20,17,53.8,5.78,91.3,"2026-03","Friday"
"PRD-00364",2026-03-07,"Malam","Line-A","OP01","M-01","Housing",290,288,4,1,53,1.39,99.3,"2026-03","Saturday"
"PRD-00365",2026-03-09,"Malam","Line-A","OP05","M-01","Bracket",369,355,7,18,42.2,1.97,96.2,"2026-03","Monday"
"PRD-00366",2026-03-10,"Malam","Line-A","OP06","M-02","Bracket",369,342,5,34,46.4,1.46,92.7,"2026-03","Tuesday"
"PRD-00367",2026-03-11,"Malam","Line-A","OP02","M-02","Shaft",290,279,6,15,53.2,2.15,96.2,"2026-03","Wednesday"
"PRD-00368",2026-03-12,"Malam","Line-A","OP03","M-02","Shaft",245,225,6,10,58.7,2.67,91.8,"2026-03","Thursday"
"PRD-00369",2026-03-13,"Malam","Line-A","OP07","M-01","Housing",293,281,11,0,46.8,3.91,95.9,"2026-03","Friday"
"PRD-00370",2026-03-14,"Malam","Line-A","OP05","M-01","Bracket",409,412,8,4,38.1,1.94,100.7,"2026-03","Saturday"
"PRD-00371",2026-03-16,"Malam","Line-A","OP02","M-02","Housing",286,276,13,12,45.9,4.71,96.5,"2026-03","Monday"
"PRD-00372",2026-03-17,"Malam","Line-A","OP06","M-01","Housing",339,309,11,39,44.1,3.56,91.2,"2026-03","Tuesday"
"PRD-00373",2026-03-18,"Malam","Line-A","OP08","M-02","Shaft",325,289,2,21,54,0.69,88.9,"2026-03","Wednesday"
"PRD-00374",2026-03-19,"Malam","Line-A","OP01","M-01","Housing",303,290,3,18,47.2,1.03,95.7,"2026-03","Thursday"
"PRD-00375",2026-03-20,"Malam","Line-A","OP03","M-01","Bracket",376,328,7,20,48.7,2.13,87.2,"2026-03","Friday"
"PRD-00376",2026-03-21,"Malam","Line-A","OP08","M-02","Shaft",315,293,11,17,58.1,3.75,93,"2026-03","Saturday"
"PRD-00377",2026-03-23,"Malam","Line-A","OP02","M-01","Housing",328,293,3,7,48,1.02,89.3,"2026-03","Monday"
"PRD-00378",2026-03-24,"Malam","Line-A","OP03","M-02","Shaft",276,249,11,16,60.9,4.42,90.2,"2026-03","Tuesday"
"PRD-00379",2026-03-25,"Malam","Line-A","OP04","M-01","Bracket",364,358,13,9,48.6,3.63,98.4,"2026-03","Wednesday"
"PRD-00380",2026-03-26,"Malam","Line-A","OP06","M-02","Bracket",387,313,20,51,40.7,6.39,80.9,"2026-03","Thursday"
"PRD-00381",2026-03-27,"Malam","Line-A","OP06","M-01","Shaft",319,325,17,27,54.3,5.23,101.9,"2026-03","Friday"
"PRD-00382",2026-03-28,"Malam","Line-A","OP08","M-02","Bracket",405,392,5,10,52.3,1.28,96.8,"2026-03","Saturday"
"PRD-00383",2026-03-30,"Malam","Line-A","OP01","M-02","Housing",324,293,2,19,37.6,0.68,90.4,"2026-03","Monday"
"PRD-00384",2026-03-31,"Malam","Line-A","OP05","M-02","Bracket",437,423,29,48,46,6.86,96.8,"2026-03","Tuesday"
"PRD-00385",2026-04-01,"Malam","Line-A","OP06","M-01","Housing",333,332,15,3,45.8,4.52,99.7,"2026-04","Wednesday"
"PRD-00386",2026-04-02,"Malam","Line-A","OP08","M-02","Shaft",286,305,2,24,56.2,0.66,106.6,"2026-04","Thursday"
"PRD-00387",2026-04-03,"Malam","Line-A","OP03","M-02","Housing",337,306,16,39,46.6,5.23,90.8,"2026-04","Friday"
"PRD-00388",2026-04-04,"Malam","Line-A","OP01","M-02","Bracket",383,392,14,15,52.2,3.57,102.3,"2026-04","Saturday"
"PRD-00389",2026-04-06,"Malam","Line-A","OP01","M-01","Bracket",329,312,6,4,50.8,1.92,94.8,"2026-04","Monday"
"PRD-00390",2026-04-07,"Malam","Line-A","OP07","M-02","Shaft",245,226,9,50,58.1,3.98,92.2,"2026-04","Tuesday"
"PRD-00391",2026-04-08,"Malam","Line-A","OP02","M-02","Housing",314,301,4,23,55.6,1.33,95.9,"2026-04","Wednesday"
"PRD-00392",2026-04-09,"Malam","Line-A","OP06","M-02","Bracket",372,341,7,28,48,2.05,91.7,"2026-04","Thursday"
"PRD-00393",2026-04-10,"Malam","Line-A","OP06","M-02","Housing",325,380,30,41,51.3,7.89,116.9,"2026-04","Friday"
"PRD-00394",2026-04-11,"Malam","Line-A","OP08","M-01","Bracket",430,448,9,15,35.4,2.01,104.2,"2026-04","Saturday"
"PRD-00395",2026-04-13,"Malam","Line-A","OP04","M-01","Shaft",294,264,14,30,62.7,5.3,89.8,"2026-04","Monday"
"PRD-00396",2026-04-14,"Malam","Line-A","OP03","M-02","Housing",292,261,3,19,56.3,1.15,89.4,"2026-04","Tuesday"
"PRD-00397",2026-04-15,"Malam","Line-A","OP05","M-02","Bracket",389,390,17,30,41.7,4.36,100.3,"2026-04","Wednesday"
